dataset,method,time,model_string,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LogisticRegression,0.14134454727172852,,0.05903432177022256,1.0,1.0,3.069511003325372,0.43874921826141344,0.4475
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RandomForest,0.7171401977539062,,0.20443439593030685,1.0,1.0,0.7045185311749713,0.48090056285178234,0.51
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,CatBoost,6.774222373962402,,0.22949648127153638,1.0,1.0,0.6843487085600863,0.5817886178861789,0.555
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RILS-ROLS,2.134986400604248,"((0.163895*MIN((0<(x756+x580)), (x110+x527)))+0.407332)",0.7220315017544608,0.5792485589277033,0.58,0.7742661710023074,0.49756097560975615,0.495
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RILS-ROLS-Pseudo-Generic,2.481873035430908,0.40733*x212*x72 + 0.391001*x216*x656*x897*x965 - 0.4453,0.680329443553878,0.5860323633585666,0.5766666666666667,0.7445901512639326,0.47693558474046277,0.4875
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,HROCH,1.0225489139556885,x78*(-x128 + x34*x85 + x357*x868*(-x107 + x56 - x611 + x955 + 0.010847224853932858)),0.681103836171567,0.5290159038822141,0.5025,0.7178965783079464,0.48465290806754224,0.51
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,HROCH-Pseudo,1.553551435470581,0.18040712670876088*x247 + 0.18040712670876088*x424*(-x622 + x707) + 0.18040712670876088*x519 - 0.18040712670876088*x729 + 0.18040712670876088*x897 - 0.18040712670876088*x909 - 0.18040712670876088*(x519 + 0.13238075854995313)*(x238 + x357 + x5) + 0.023882432281523275,0.6782269861501027,0.5987012987012988,0.5825,0.7258389603928223,0.4336835522201376,0.4475
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,HROCH-Pseudo-Generic,1.017624855041504,((-0.39523428678512573)*(((x729-(x424*(x707-x622)))+((x519+0.030122719705104828)*(x357+(x5+x238))))-((x519+0.030122719705104828)+(((x897+x247)+((x897+x247)*x235))-(((x897+x247)*x235)+x909))))),0.6958938803278542,0.5987610250711856,0.5825,0.8002662198764079,0.4337085678549093,0.4475
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,LogisticRegression,0.03268885612487793,,0.6864072096063009,0.562586290714633,0.5383333333333333,0.7061509320935255,0.4828767979987493,0.495
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,RandomForest,0.24040699005126953,,0.19588265054936665,1.0,1.0,0.6783303770467157,0.6084677923702314,0.565
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,CatBoost,0.9920361042022705,,0.3491396293050556,0.9777484547538023,0.9216666666666666,0.6641425664873362,0.6656910569105691,0.65
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,RILS-ROLS,2.0043394565582275,((((0.372159*(x18<x19))+(-0.214677*x18))+(0.561444*(x19<x18)))+0.413907),0.6466910748939516,0.6818181818181819,0.6808333333333333,0.6466398344019036,0.6919324577861163,0.695
