,dataset,estimator,time,model_string,random_seed,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score,est_params
0,adult,CatBoost,48.27582001686096,,57302,0.2451849621624791,0.9455391988755204,0.885701123537993,0.2702217043344149,0.9319619041294378,0.8795168389804484,"{""learning_rate"": 0.027444514393716094, ""depth"": 10, ""l2_leaf_reg"": 0.027444514393716094, ""silent"": true, ""random_strength"": 1.2462565942976156, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Ordered"", ""colsample_bylevel"": 0.49129377294402177, ""objective"": ""Logloss"", ""min_data_in_leaf"": 41}"
1,adult,CatBoost,14.672964572906494,,92067,0.2476900634385625,0.9433945064735996,0.8860082409848232,0.2841968680979407,0.9275058563563964,0.8716347630258983,"{""learning_rate"": 0.06489778555799723, ""depth"": 6, ""l2_leaf_reg"": 0.06489778555799723, ""silent"": true, ""random_strength"": 1.617464810019808, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Ordered"", ""colsample_bylevel"": 0.4700944656828623, ""objective"": ""Logloss"", ""min_data_in_leaf"": 38}"
2,adult,CatBoost,14.076289176940918,,33585,0.254010487619121,0.9405201571255448,0.8838584188570112,0.274802265545901,0.9308524700851922,0.8755246186917801,"{""learning_rate"": 0.04705587211479468, ""depth"": 6, ""l2_leaf_reg"": 0.04705587211479468, ""silent"": true, ""random_strength"": 0.26222218029097, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Ordered"", ""colsample_bylevel"": 0.33796345543292605, ""objective"": ""Logloss"", ""min_data_in_leaf"": 20}"
3,adult,CatBoost,14.73003602027893,,41729,0.2544297982377699,0.940452646813885,0.8827835077931052,0.2751421651272854,0.9285171562303612,0.8766506295424301,"{""learning_rate"": 0.03821966920492691, ""depth"": 6, ""l2_leaf_reg"": 0.03821966920492691, ""silent"": true, ""random_strength"": 0.5493459774441583, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Ordered"", ""colsample_bylevel"": 0.4965319937754113, ""objective"": ""Logloss"", ""min_data_in_leaf"": 37}"
4,adult,CatBoost,19.638264894485477,,66580,0.2465701700091834,0.9447586713788872,0.8865456965167763,0.2690559724195978,0.9320589748124032,0.8781860988842256,"{""learning_rate"": 0.03894519547731018, ""depth"": 8, ""l2_leaf_reg"": 0.03894519547731018, ""silent"": true, ""random_strength"": 1.486778271504644, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Ordered"", ""colsample_bylevel"": 0.3753103325552471, ""objective"": ""Logloss"", ""min_data_in_leaf"": 42}"
5,agaricus_lepiota,CatBoost,1.9994711875915527,,57302,3.395695058765454e-05,1.0,1.0,3.627102555826693e-05,1.0,1.0,"{""learning_rate"": 0.012318039991847211, ""depth"": 11, ""l2_leaf_reg"": 0.012318039991847211, ""silent"": true, ""random_strength"": 1.3764076469735298, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Plain"", ""colsample_bylevel"": 0.43880800087771465, ""objective"": ""Logloss"", ""min_data_in_leaf"": 49}"
6,agaricus_lepiota,CatBoost,2.5809459686279297,,92067,3.1189137991700364e-05,1.0,1.0,3.0269319611303377e-05,1.0,1.0,"{""learning_rate"": 0.008749053583822195, ""depth"": 12, ""l2_leaf_reg"": 0.008749053583822195, ""silent"": true, ""random_strength"": 1.5891684177738845, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Plain"", ""colsample_bylevel"": 0.46068589121294107, ""objective"": ""Logloss"", ""min_data_in_leaf"": 45}"
7,agaricus_lepiota,CatBoost,2.335437059402466,,33585,3.140583889427269e-05,1.0,1.0,3.371094436812812e-05,1.0,1.0,"{""learning_rate"": 0.008151128026556044, ""depth"": 12, ""l2_leaf_reg"": 0.008151128026556044, ""silent"": true, ""random_strength"": 1.2907024392957058, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Plain"", ""colsample_bylevel"": 0.3660076221490697, ""objective"": ""Logloss"", ""min_data_in_leaf"": 15}"
8,agaricus_lepiota,CatBoost,2.0683810710906982,,41729,3.418326619063737e-05,1.0,1.0,3.539927625799991e-05,1.0,1.0,"{""learning_rate"": 0.008492644427292839, ""depth"": 11, ""l2_leaf_reg"": 0.008492644427292839, ""silent"": true, ""random_strength"": 1.3137296600545212, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Plain"", ""colsample_bylevel"": 0.40961406417906965, ""objective"": ""Logloss"", ""min_data_in_leaf"": 45}"
9,agaricus_lepiota,CatBoost,2.5430853366851807,,66580,3.19180422900464e-05,1.0,1.0,3.165945596983705e-05,1.0,1.0,"{""learning_rate"": 0.007728927807079151, ""depth"": 12, ""l2_leaf_reg"": 0.007728927807079151, ""silent"": true, ""random_strength"": 1.8387407703859535, ""eval_metric"": ""Logloss"", ""boosting_type"": ""Plain"", ""colsample_bylevel"": 0.3795576939363495, ""objective"": ""Logloss"", ""min_data_in_leaf"": 31}"
