dataset,method,time,model_string,random_seed,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
agaricus_lepiota,DecisionTree,0.0054819583892822,,33585,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
clean2,DecisionTree,0.0385582447052001,,66580,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
mushroom,DecisionTree,0.0064055919647216,,66580,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
Hill_Valley_without_noise,DecisionTree,0.1001207828521728,,41729,0.5269115775202,0.8147277723389106,0.7452830188679245,0.780985372768842,0.6019100580270794,0.5851648351648352
parity5+5,DecisionTree,0.0017287731170654,,66580,0.6680250336726843,0.6249084605165096,0.5903307888040712,0.8228374635476721,0.2678521324354657,0.3284023668639053
hypothyroid,DecisionTree,0.0120210647583007,,66580,0.0450160530557868,0.9922754148388327,0.9805781391147244,0.2795659234642055,0.9495479658463084,0.9715489989462592
german,DecisionTree,0.0024123191833496,,33585,0.4242689491768728,0.8508442776735459,0.7928571428571428,1.5871215914116854,0.6958873327759197,0.67
hypothyroid,DecisionTree,0.0040974617004394,,41729,0.0429337518012544,0.9920223896212595,0.980126467931346,0.4505930443362664,0.8993594003839905,0.952581664910432
flare,DecisionTree,0.0013518333435058,,33585,0.3523093029007976,0.8025076059131788,0.8431635388739946,0.7495730844250511,0.7255265270829472,0.815625
Hill_Valley_with_noise,DecisionTree,0.12184739112854,,92067,0.4990421913775769,0.8335876714693876,0.7617924528301887,1.3239355218555169,0.531748685370376,0.5247252747252747
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,DecisionTree,0.0012831687927246,,66580,0.6868649457541003,0.554464254395056,0.5419642857142857,0.6995514712383837,0.4945911687590075,0.4916666666666666
magic,DecisionTree,0.1487846374511718,,66580,0.4445078719430382,0.8375365919842913,0.7838365630163737,0.4463741330774733,0.8378020192576524,0.7793550648440238
dis,DecisionTree,0.0052275657653808,,57302,0.0276092026086159,0.9898413085708389,0.9890151515151516,0.1779394964052053,0.8405961487734107,0.9893992932862192
twonorm,DecisionTree,0.2001147270202636,,57302,0.1517032071330823,0.9847779417684152,0.9262548262548262,2.246668883098506,0.8941014490047581,0.8274774774774775
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,DecisionTree,0.002979040145874,,66580,0.560716431633358,0.7726114588747763,0.6910714285714286,0.6962921378653166,0.6493722977548574,0.6145833333333334
phoneme,DecisionTree,0.0132067203521728,,57302,0.3424385920034911,0.9030180830074788,0.8365943945002644,0.4754899622055089,0.8732732959855651,0.8057953144266338
mofn_3_7_10,DecisionTree,0.0015127658843994,,92067,0.1495986859072298,0.9751776001776002,0.9157667386609072,0.2852861832714796,0.912356522956327,0.8165829145728644
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DecisionTree,0.1087021827697753,,41729,0.5260509787070399,0.7955546195964315,0.7071428571428572,1.9367519826544124,0.4907062225628876,0.4770833333333333
spambase,DecisionTree,0.055964708328247,,57302,0.1873068680065221,0.9656523113635668,0.9316770186335404,0.5663678752631514,0.934155868779275,0.9022447501810282
credit_g,DecisionTree,0.0034058094024658,,92067,0.4284922220736942,0.8381556832395247,0.7785714285714286,1.2569726174972915,0.6989443979933111,0.7166666666666667
mushroom,DecisionTree,0.0071790218353271,,33585,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
Hill_Valley_with_noise,DecisionTree,0.1357226371765136,,33585,0.4740410135860189,0.8528462343329104,0.7735849056603774,1.398378605726937,0.5205910852713178,0.5054945054945055
mushroom,DecisionTree,0.0079820156097412,,41729,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
ring,DecisionTree,0.0722889900207519,,33585,0.5828074374670558,0.688097189928591,0.6824324324324325,0.5920300011213228,0.6769648692445103,0.6846846846846847
